# BEAST v10.5.0
# Generated Fri Apr 10 10:16:14 BRT 2026 [seed=1775826973814]
# CDV_GTRG4_skygrid_relaxed_4traits.xml
state	host_2.rates.Callithrix.Canis	host_2.rates.Callithrix.Cerdocyon	host_2.rates.Callithrix.Lutra	host_2.rates.Callithrix.Martes	host_2.rates.Callithrix.Mustela	host_2.rates.Callithrix.Procyon	host_2.rates.Callithrix.Pusa	host_2.rates.Callithrix.Vulpes	host_2.rates.Canis.Cerdocyon	host_2.rates.Canis.Lutra	host_2.rates.Canis.Martes	host_2.rates.Canis.Mustela	host_2.rates.Canis.Procyon	host_2.rates.Canis.Pusa	host_2.rates.Canis.Vulpes	host_2.rates.Cerdocyon.Lutra	host_2.rates.Cerdocyon.Martes	host_2.rates.Cerdocyon.Mustela	host_2.rates.Cerdocyon.Procyon	host_2.rates.Cerdocyon.Pusa	host_2.rates.Cerdocyon.Vulpes	host_2.rates.Lutra.Martes	host_2.rates.Lutra.Mustela	host_2.rates.Lutra.Procyon	host_2.rates.Lutra.Pusa	host_2.rates.Lutra.Vulpes	host_2.rates.Martes.Mustela	host_2.rates.Martes.Procyon	host_2.rates.Martes.Pusa	host_2.rates.Martes.Vulpes	host_2.rates.Mustela.Procyon	host_2.rates.Mustela.Pusa	host_2.rates.Mustela.Vulpes	host_2.rates.Procyon.Pusa	host_2.rates.Procyon.Vulpes	host_2.rates.Pusa.Vulpes	host_2.rates.Canis.Callithrix	host_2.rates.Cerdocyon.Callithrix	host_2.rates.Lutra.Callithrix	host_2.rates.Martes.Callithrix	host_2.rates.Mustela.Callithrix	host_2.rates.Procyon.Callithrix	host_2.rates.Pusa.Callithrix	host_2.rates.Vulpes.Callithrix	host_2.rates.Cerdocyon.Canis	host_2.rates.Lutra.Canis	host_2.rates.Martes.Canis	host_2.rates.Mustela.Canis	host_2.rates.Procyon.Canis	host_2.rates.Pusa.Canis	host_2.rates.Vulpes.Canis	host_2.rates.Lutra.Cerdocyon	host_2.rates.Martes.Cerdocyon	host_2.rates.Mustela.Cerdocyon	host_2.rates.Procyon.Cerdocyon	host_2.rates.Pusa.Cerdocyon	host_2.rates.Vulpes.Cerdocyon	host_2.rates.Martes.Lutra	host_2.rates.Mustela.Lutra	host_2.rates.Procyon.Lutra	host_2.rates.Pusa.Lutra	host_2.rates.Vulpes.Lutra	host_2.rates.Mustela.Martes	host_2.rates.Procyon.Martes	host_2.rates.Pusa.Martes	host_2.rates.Vulpes.Martes	host_2.rates.Procyon.Mustela	host_2.rates.Pusa.Mustela	host_2.rates.Vulpes.Mustela	host_2.rates.Pusa.Procyon	host_2.rates.Vulpes.Procyon	host_2.rates.Vulpes.Pusa	host_2.indicators.Callithrix.Canis	host_2.indicators.Callithrix.Cerdocyon	host_2.indicators.Callithrix.Lutra	host_2.indicators.Callithrix.Martes	host_2.indicators.Callithrix.Mustela	host_2.indicators.Callithrix.Procyon	host_2.indicators.Callithrix.Pusa	host_2.indicators.Callithrix.Vulpes	host_2.indicators.Canis.Cerdocyon	host_2.indicators.Canis.Lutra	host_2.indicators.Canis.Martes	host_2.indicators.Canis.Mustela	host_2.indicators.Canis.Procyon	host_2.indicators.Canis.Pusa	host_2.indicators.Canis.Vulpes	host_2.indicators.Cerdocyon.Lutra	host_2.indicators.Cerdocyon.Martes	host_2.indicators.Cerdocyon.Mustela	host_2.indicators.Cerdocyon.Procyon	host_2.indicators.Cerdocyon.Pusa	host_2.indicators.Cerdocyon.Vulpes	host_2.indicators.Lutra.Martes	host_2.indicators.Lutra.Mustela	host_2.indicators.Lutra.Procyon	host_2.indicators.Lutra.Pusa	host_2.indicators.Lutra.Vulpes	host_2.indicators.Martes.Mustela	host_2.indicators.Martes.Procyon	host_2.indicators.Martes.Pusa	host_2.indicators.Martes.Vulpes	host_2.indicators.Mustela.Procyon	host_2.indicators.Mustela.Pusa	host_2.indicators.Mustela.Vulpes	host_2.indicators.Procyon.Pusa	host_2.indicators.Procyon.Vulpes	host_2.indicators.Pusa.Vulpes	host_2.indicators.Canis.Callithrix	host_2.indicators.Cerdocyon.Callithrix	host_2.indicators.Lutra.Callithrix	host_2.indicators.Martes.Callithrix	host_2.indicators.Mustela.Callithrix	host_2.indicators.Procyon.Callithrix	host_2.indicators.Pusa.Callithrix	host_2.indicators.Vulpes.Callithrix	host_2.indicators.Cerdocyon.Canis	host_2.indicators.Lutra.Canis	host_2.indicators.Martes.Canis	host_2.indicators.Mustela.Canis	host_2.indicators.Procyon.Canis	host_2.indicators.Pusa.Canis	host_2.indicators.Vulpes.Canis	host_2.indicators.Lutra.Cerdocyon	host_2.indicators.Martes.Cerdocyon	host_2.indicators.Mustela.Cerdocyon	host_2.indicators.Procyon.Cerdocyon	host_2.indicators.Pusa.Cerdocyon	host_2.indicators.Vulpes.Cerdocyon	host_2.indicators.Martes.Lutra	host_2.indicators.Mustela.Lutra	host_2.indicators.Procyon.Lutra	host_2.indicators.Pusa.Lutra	host_2.indicators.Vulpes.Lutra	host_2.indicators.Mustela.Martes	host_2.indicators.Procyon.Martes	host_2.indicators.Pusa.Martes	host_2.indicators.Vulpes.Martes	host_2.indicators.Procyon.Mustela	host_2.indicators.Pusa.Mustela	host_2.indicators.Vulpes.Mustela	host_2.indicators.Pusa.Procyon	host_2.indicators.Vulpes.Procyon	host_2.indicators.Vulpes.Pusa	host_2.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	72.0
10000	1.1257355471870003	0.7936531648508452	2.5558006016127512	1.4609368878532802	0.16970386988888567	0.9487414341932207	0.25066039263439627	0.4341209364393424	1.9114322672859456	2.4691732921041396	1.4890192375080726	0.551250804510258	0.2369297338851042	0.3516728515883092	1.1989474420998383	0.6407538384324136	0.5165159768324499	1.7566860658426675	1.108730791243365	0.31741094112354973	2.072441224704839	0.3144279226086955	1.028265517321073	0.5675656842613072	1.010014491714296	0.8967847384299106	1.2902260810225799	1.6537797655898765	0.21622304787469496	1.463452038629433	0.41401832532585964	0.34593401283243763	1.2613177565788543	1.7726624174253265	1.8011234752400038	0.8703817718533048	3.0099949006361504	0.048628453929425594	0.7419845625269071	1.1599964325551329	3.0706665023816977	0.8571434091811024	1.083135503110104	2.085851478598554	1.5418795792883155	2.9686593421198024	2.129951402787048	2.9453373893946995	0.1837216762691737	1.0868685214684526	2.859300710338527	0.5739044392501433	0.4197176012647341	0.8442164668280577	0.3337094626056826	0.4044357828287607	1.3063946373255189	1.5805292171580223	2.6800453985324957	0.31706690633973883	0.4011346831593773	1.070038061354595	0.7167517210980217	0.4210905436984281	3.44689069757694	0.6889591797996034	0.7824105933799381	0.7243088198188501	2.4991020957535706	2.077397697629333	1.707242248812794	1.1188478281084535	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	22.0
20000	2.2251475739954194	0.30568729133590294	2.7517988910044138	1.2512514622127977	0.14141425442759492	5.7946598505431846	0.9863471727154601	1.367900275120272	3.227909923960286	3.2100621526784745	1.6322466325056324	2.609850468623118	0.46210851104683476	1.8770701525753195	0.9871366551302823	0.26610163868597037	2.103392525501324	1.8387392465974848	0.3795063474970584	0.509972267492017	3.9187198720374345	0.4203805950375065	1.2457931376863105	0.3064667440215205	2.6276493249221944	0.9858311779695328	0.1306559572376066	1.3749833923606947	0.47785174818668513	3.851374073705938	0.6913181856125278	0.11045030071133473	0.6170681086747126	2.605332073335392	0.11184507281839655	0.6083919721756952	2.524281648268928	0.06890129466356244	1.9493841211333736	0.5599089534888183	1.1656413775543955	2.10008422159732	0.769083391899833	1.2112516555749733	0.7074621600144789	0.31368994428866026	0.9221244903582647	2.311343636616944	0.14130682379687773	0.6641176829148838	2.084961607494002	0.6910817714737097	1.0351168991830055	0.7463083246748268	0.9014196312590254	1.6631118537512741	1.0196384140052752	3.1699806024886614	1.035739668910628	0.40411940277327674	0.6339233356119682	4.2698578190850425	0.3187351932681248	0.9311853352677837	4.400491981017592	0.9839483055175574	0.1241221762493252	0.5967137017617863	4.509468313422943	1.7521447760076363	1.1449793077128005	0.5546704811036568	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	18.0
30000	3.2905604668694024	1.1931635794523487	2.3312831921478243	0.07426381379330312	1.6392503173389934	4.754120389980065	1.263879878197844	2.013724949460598	2.607624976271122	0.5163026926640748	1.9928443069961632	1.7446185131832068	1.9664883923602559	1.0200156662178437	1.007296498529383	0.2823712266909313	0.9274785674756572	1.7875805684067305	2.0339460828025766	2.433489587058657	1.229289052827667	0.05091163387886567	0.17764218477845128	1.9649364024313336	0.7970675154543975	0.26115542414943405	0.6908184635393217	0.4293397611527092	1.2978577885969185	0.7854668038689989	1.2338684048569197	0.2415410826485674	0.06786170600687282	1.5699316567868846	0.3029875080237132	2.571841793557649	2.7570758308739816	0.3327102961963654	1.2043943897449527	0.3720281135953206	2.2280863515283267	4.7210148616665615	0.2943537304074061	2.072820639745658	1.213062555048078	0.39028281494463407	0.12814103741510677	0.5301204264225168	0.5610438730358759	1.6235875115661123	2.5227364608319713	0.6063899771861423	3.2883385187758116	0.3077759769107851	0.6714761370387521	0.9380245582882534	0.25880570778739	4.548220024476794	0.4274798818489485	0.16312111635586718	0.6156833960485562	3.4707461934522357	0.8445722202944554	1.538321097701387	1.419961458215205	3.06824427658654	0.15157527692348668	0.9861902558759638	2.5064177937337724	1.1514780901340431	3.8256108659722923	1.2011188480793131	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	16.0
40000	2.3501838258123784	5.43237664020591	0.9833623548836267	0.31200823196799593	1.120273671355759	2.46400558336843	1.6271295303701738	0.7795044167896945	1.153220457673757	1.9455579319177971	1.1475346868851186	0.684669273407691	4.106561454497324	2.15155629528447	0.391416823747894	0.21988122334309446	1.606903112090556	0.8143552988118837	0.8940854037190183	0.341199583319466	1.0961447706362586	0.021624440210798256	0.20100063365449256	1.172106986848635	1.7308963816932985	0.13455759324888383	3.6480324517424947	0.2929671721828026	3.2264756221022606	0.7781236666750718	1.4499462860345351	0.12319312528384231	2.3419821014286426	2.1251933000878487	0.21358627795230187	3.4162098856218464	4.5751119260484	0.6049013280086014	3.166916245010062	0.15131491070221484	2.2120477901783517	3.918728719655325	2.8508105809616215	1.4976588553294705	1.5416609902372602	0.039719890443717286	0.034405866436937896	0.8881136142275399	0.36076176135851024	0.995395857276323	3.650249871574177	4.37235623621578	0.9058608909795242	0.2281159168490647	0.40325175008290576	0.22566477661933618	0.7238906362103124	1.370721553937122	0.7193942713504451	2.8091001763147108	4.387518264014203	2.187364644397485	1.5617309807775965	0.9951787137502952	1.0090916210528973	2.160369847412032	0.6473843628750107	1.9202777683983971	4.0162141168296355	2.858335153839584	1.8531300437459166	0.04129965754192519	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	19.0
50000	2.326214121109808	3.906806787464477	1.9873168993235102	0.19521491288100776	1.7585434324273026	1.4498383295147736	2.1311282015453887	0.14288271384982745	0.2262233596751486	0.7711975350259681	2.125255811711261	0.3395045612286118	1.4675186168448937	5.7013688094819654	0.4328520473547897	0.1132914424239782	9.812965383516966	0.5895212514390973	0.04068818322169013	0.24977250681490826	0.7222611878605015	0.03988331674684224	0.5416112318437207	0.9666655365613642	0.1592634677389248	0.1634938758568463	0.842453047502192	0.28467714496887786	3.398932338457515	2.5272117531426974	0.3814489106590713	2.0484583089652597	0.32012377941293135	1.615671210344203	1.130746664866144	0.7477845890045897	2.577666806556499	0.4872048551103041	1.7148316439875257	0.07549951192869467	3.0588027378013174	0.16729497175939959	2.526466586791465	0.7712092676663551	0.7380789576646279	0.04206050138858678	0.03983913227733204	4.041482401285304	0.5385810973863128	3.904515009782241	2.410224654907848	1.359885920815843	0.9847314945710959	0.40756518536039765	0.3512530515801655	0.05722387289345151	0.15451563602393706	0.5989924992246914	0.7507915153960772	0.9143757774763376	2.6387495258442284	1.298397815836626	1.4540090539672188	1.2205333629941344	1.0254602996622342	0.9513327525406663	0.9540068957295508	0.9085774807075937	2.4474720450975895	0.9097679648323771	2.3614845110210343	0.03548091146158644	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	18.0
60000	0.6248756649727059	1.6052943168565998	1.8947729901279586	0.4808025704928913	0.7018369355603615	1.5025683273847876	0.6231084774411453	0.02219333122518883	0.38665951000384724	1.4384095749149644	1.0576526124746743	0.15097881173900662	0.37019246904078795	0.38058613407071235	0.3210483503578569	1.3816927894299642	1.1818706388454896	0.33578144337230853	0.2391604877950645	1.1747478198089703	1.0681334523054955	0.40953757378861455	1.085567768306875	0.2319933874962291	0.18693367763610055	0.3234724941039677	0.16116679220449875	2.1200228202691855	1.5192265354086407	4.319314752386742	0.06867081160106278	0.9385394837724783	0.17877571923057928	1.5876799003546547	2.970090755294708	1.2273438548359594	0.7581436036534835	1.0410214716339505	0.4143630744355176	0.8895843585225446	2.3800222894121887	0.4151947395141742	0.263692387862085	0.6843576073657298	2.820235228429313	0.12937286949585308	0.27675766358366294	1.4900047333486977	2.4940943159012896	1.0442821742036326	1.1204670977459215	0.2972532857684792	0.39491427563146675	0.9354465939269377	1.3963112329572454	0.12897356692877815	0.5679212925102176	1.0438962877783158	0.7776595359422188	2.518036124032135	0.9380967005116472	0.6059660019327279	0.7214456732620237	0.3143826744969208	0.6274832865753222	1.2508049349843615	0.5129736197216769	2.10462853873899	1.9205544081256756	1.6161327978789326	1.7938665873156778	0.23125747319655027	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	20.0
70000	1.0222842953476654	0.5886453129177894	0.16078913174022277	1.175538833826827	0.3500067238967151	5.227350326426483	0.19594417221796281	0.20381520272024717	0.9751805108892372	0.8734183295199567	0.23950662149045832	0.1717926798472965	0.550921592396666	1.386368373941665	0.288631679968852	0.5296917715184961	0.31782314826983127	0.07297520384685649	0.3747880327542605	1.005312996103301	0.4435564657674563	0.24388222894480655	1.2127280926338835	1.2692232288566685	0.2785777479025874	0.24872674023362706	0.5175143367980479	3.6995258396880013	0.6177957590782635	3.9374714050261654	0.5048346343492568	0.202409921819777	0.9507820200927488	1.027620767034705	2.008380167081852	0.868219843417548	1.1983101383655126	2.424150057129477	0.16151644378192018	0.08295269257618568	2.1218847923185584	0.11575930896449317	0.05539904790900268	1.0828585209764074	1.3058236883834213	0.11207352370521072	0.4398141864524846	2.090297592606719	4.006161246300985	1.596785050881892	0.4707480309905199	0.6546006265848916	0.26450262051282175	0.10792654776357517	2.854333871901817	0.38797627222548253	3.8103437526846773	0.0453041624039926	0.4790215043078512	1.0414919709845045	0.805992923906919	0.31759097668310393	1.2583413860779193	0.3543814639129906	0.4857730426730471	1.3817371061500523	0.30939406870823966	1.0512138048401698	0.6998533844613236	1.1032569749354562	2.11056697108202	0.5933135708937061	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	17.0
80000	0.3603282654800091	0.8916379501257478	0.5118623421363194	0.8590461838601013	0.2624284110807966	0.5039050355054534	1.0015788205799563	3.9076175318500703	1.9296607601865916	0.43337907045528107	0.3441954710588377	0.3153128837297193	0.3173830687837453	1.2763370410288772	0.19576963254562527	0.4667449130551112	0.7012564854300144	0.0788238951878729	0.26464977958163616	0.7658147098248185	0.18651411487318484	0.46500265687017095	1.5474621527391024	1.222439305039727	0.7040631193372704	1.9156311631928247	0.4969399895216647	1.9698355991769534	0.21583789917607435	0.9046163228721517	0.46847111065493546	0.6667339445370556	0.6695917296716536	1.1466813221431096	2.063571914915679	0.7518616872523558	0.9851695036736905	1.0787770692109468	0.33946569698690754	0.06177292217575106	3.1809874749605767	0.7889546210855188	0.04216912248006047	1.7105970598631883	0.596672865170641	0.07755562690230117	0.778648842026825	0.6191782267395451	1.9372463528068795	0.4319177724026716	1.1037040618296208	0.9338242847698154	0.1265375259195202	0.39356029246487717	1.5866479295372133	4.2180101773796865	1.178852608977214	0.1460302029508803	0.729052869306172	1.1132017800328389	1.1574648328935522	0.7034676940339065	0.9946638687407353	0.5387870768857209	1.9809234028523317	0.17262429064651272	1.0820271536522288	0.7561175845379117	1.9744441425220152	3.5863516564398643	0.8013844934490316	0.43801692294407335	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	16.0
90000	0.5018435897089785	0.43785384709167885	0.355744772415611	0.2374066996394651	0.8883261813271318	0.19811283331733764	1.2597238263970711	2.2846791431577107	4.329081009528451	0.08446967503153069	0.36326545147191813	1.4309879894287467	1.0316584065381809	2.5813521060783757	0.5756659489249196	0.36945299386999114	0.8531090644677661	0.23534572735739012	0.06602776992504863	0.20880657865873256	0.34361048645849745	1.053801089890758	2.237448348204404	2.531369484233622	0.36268065340137423	0.33445968617061755	1.6316267895896424	2.8554581318990304	0.48559261552970306	1.9695025616779274	0.7139199871245077	0.43383154467427837	0.43433681042573163	0.5488916703653137	0.32139093219284537	2.0897282750561965	2.418647724605604	0.7741485248093765	3.2728705247733916	0.34237095592420014	0.35092498781902204	1.927692295072037	0.014596306966478905	1.5511685984560817	0.23613451326967155	0.13656739670041756	0.5078253418436074	3.1044589690357975	2.7555215473653485	0.1491025999433006	0.8428619030861759	0.37136718262093393	0.06211017834923962	0.9656706561618171	2.5571006354359684	0.6345600744295633	0.807211840487813	0.17587105830873914	2.278321597707365	0.6595645686749964	0.22495362044185435	0.37539080015194254	1.1823034992341788	3.2040373758516467	0.9561792479439436	0.022692764329941856	0.7197495041905556	0.334451332710751	1.7470234045379847	1.8017093951317709	0.03836091215533675	0.518063196812309	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	19.0
