# BEAST v10.5.0
# Generated Mon Apr 13 22:17:07 BRT 2026 [seed=1776129426974]
# CDV_GTRG4_skygrid_relaxed_4traits.xml
state	host_2.rates.Callithrix.Canis	host_2.rates.Callithrix.Cerdocyon	host_2.rates.Callithrix.Lutra	host_2.rates.Callithrix.Martes	host_2.rates.Callithrix.Mustela	host_2.rates.Callithrix.Procyon	host_2.rates.Callithrix.Pusa	host_2.rates.Callithrix.Vulpes	host_2.rates.Canis.Cerdocyon	host_2.rates.Canis.Lutra	host_2.rates.Canis.Martes	host_2.rates.Canis.Mustela	host_2.rates.Canis.Procyon	host_2.rates.Canis.Pusa	host_2.rates.Canis.Vulpes	host_2.rates.Cerdocyon.Lutra	host_2.rates.Cerdocyon.Martes	host_2.rates.Cerdocyon.Mustela	host_2.rates.Cerdocyon.Procyon	host_2.rates.Cerdocyon.Pusa	host_2.rates.Cerdocyon.Vulpes	host_2.rates.Lutra.Martes	host_2.rates.Lutra.Mustela	host_2.rates.Lutra.Procyon	host_2.rates.Lutra.Pusa	host_2.rates.Lutra.Vulpes	host_2.rates.Martes.Mustela	host_2.rates.Martes.Procyon	host_2.rates.Martes.Pusa	host_2.rates.Martes.Vulpes	host_2.rates.Mustela.Procyon	host_2.rates.Mustela.Pusa	host_2.rates.Mustela.Vulpes	host_2.rates.Procyon.Pusa	host_2.rates.Procyon.Vulpes	host_2.rates.Pusa.Vulpes	host_2.rates.Canis.Callithrix	host_2.rates.Cerdocyon.Callithrix	host_2.rates.Lutra.Callithrix	host_2.rates.Martes.Callithrix	host_2.rates.Mustela.Callithrix	host_2.rates.Procyon.Callithrix	host_2.rates.Pusa.Callithrix	host_2.rates.Vulpes.Callithrix	host_2.rates.Cerdocyon.Canis	host_2.rates.Lutra.Canis	host_2.rates.Martes.Canis	host_2.rates.Mustela.Canis	host_2.rates.Procyon.Canis	host_2.rates.Pusa.Canis	host_2.rates.Vulpes.Canis	host_2.rates.Lutra.Cerdocyon	host_2.rates.Martes.Cerdocyon	host_2.rates.Mustela.Cerdocyon	host_2.rates.Procyon.Cerdocyon	host_2.rates.Pusa.Cerdocyon	host_2.rates.Vulpes.Cerdocyon	host_2.rates.Martes.Lutra	host_2.rates.Mustela.Lutra	host_2.rates.Procyon.Lutra	host_2.rates.Pusa.Lutra	host_2.rates.Vulpes.Lutra	host_2.rates.Mustela.Martes	host_2.rates.Procyon.Martes	host_2.rates.Pusa.Martes	host_2.rates.Vulpes.Martes	host_2.rates.Procyon.Mustela	host_2.rates.Pusa.Mustela	host_2.rates.Vulpes.Mustela	host_2.rates.Pusa.Procyon	host_2.rates.Vulpes.Procyon	host_2.rates.Vulpes.Pusa	host_2.indicators.Callithrix.Canis	host_2.indicators.Callithrix.Cerdocyon	host_2.indicators.Callithrix.Lutra	host_2.indicators.Callithrix.Martes	host_2.indicators.Callithrix.Mustela	host_2.indicators.Callithrix.Procyon	host_2.indicators.Callithrix.Pusa	host_2.indicators.Callithrix.Vulpes	host_2.indicators.Canis.Cerdocyon	host_2.indicators.Canis.Lutra	host_2.indicators.Canis.Martes	host_2.indicators.Canis.Mustela	host_2.indicators.Canis.Procyon	host_2.indicators.Canis.Pusa	host_2.indicators.Canis.Vulpes	host_2.indicators.Cerdocyon.Lutra	host_2.indicators.Cerdocyon.Martes	host_2.indicators.Cerdocyon.Mustela	host_2.indicators.Cerdocyon.Procyon	host_2.indicators.Cerdocyon.Pusa	host_2.indicators.Cerdocyon.Vulpes	host_2.indicators.Lutra.Martes	host_2.indicators.Lutra.Mustela	host_2.indicators.Lutra.Procyon	host_2.indicators.Lutra.Pusa	host_2.indicators.Lutra.Vulpes	host_2.indicators.Martes.Mustela	host_2.indicators.Martes.Procyon	host_2.indicators.Martes.Pusa	host_2.indicators.Martes.Vulpes	host_2.indicators.Mustela.Procyon	host_2.indicators.Mustela.Pusa	host_2.indicators.Mustela.Vulpes	host_2.indicators.Procyon.Pusa	host_2.indicators.Procyon.Vulpes	host_2.indicators.Pusa.Vulpes	host_2.indicators.Canis.Callithrix	host_2.indicators.Cerdocyon.Callithrix	host_2.indicators.Lutra.Callithrix	host_2.indicators.Martes.Callithrix	host_2.indicators.Mustela.Callithrix	host_2.indicators.Procyon.Callithrix	host_2.indicators.Pusa.Callithrix	host_2.indicators.Vulpes.Callithrix	host_2.indicators.Cerdocyon.Canis	host_2.indicators.Lutra.Canis	host_2.indicators.Martes.Canis	host_2.indicators.Mustela.Canis	host_2.indicators.Procyon.Canis	host_2.indicators.Pusa.Canis	host_2.indicators.Vulpes.Canis	host_2.indicators.Lutra.Cerdocyon	host_2.indicators.Martes.Cerdocyon	host_2.indicators.Mustela.Cerdocyon	host_2.indicators.Procyon.Cerdocyon	host_2.indicators.Pusa.Cerdocyon	host_2.indicators.Vulpes.Cerdocyon	host_2.indicators.Martes.Lutra	host_2.indicators.Mustela.Lutra	host_2.indicators.Procyon.Lutra	host_2.indicators.Pusa.Lutra	host_2.indicators.Vulpes.Lutra	host_2.indicators.Mustela.Martes	host_2.indicators.Procyon.Martes	host_2.indicators.Pusa.Martes	host_2.indicators.Vulpes.Martes	host_2.indicators.Procyon.Mustela	host_2.indicators.Pusa.Mustela	host_2.indicators.Vulpes.Mustela	host_2.indicators.Pusa.Procyon	host_2.indicators.Vulpes.Procyon	host_2.indicators.Vulpes.Pusa	host_2.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	72.0
10000	1.0876543406166013	0.8287203273817577	1.4830853146471124	1.386353096400758	0.6739466808179593	0.12256671132064312	0.7401149491916272	1.4664688267690553	0.8988409197620946	0.7044600079753132	3.6100313095533347	1.6709407848489595	0.5739841637530864	0.5966604315217409	0.8522806151392307	3.244686302214618	1.6909555341436278	0.4997629800451907	1.7687065761350036	0.3654059907844454	0.7175646400051657	0.49759487494943055	1.2684225614035682	0.6510579907573426	0.7557551517842118	0.9637054987682075	0.6897653008392454	3.826342736072251	0.6152169421523438	5.262779797475618	0.10222984995174753	1.1531769273035224	1.4540512497820186	2.336306193157582	2.1449185935181028	1.0221319991662925	1.3112366551792118	1.1653324104544867	0.9321192256769287	0.5619521532799612	0.886249023110432	0.21943761040933293	3.600860240752778	0.7574889002854784	1.690815430559971	0.17434040753929322	0.3576327705486254	1.2967574883949293	0.3682634334426262	0.8377398586797127	0.5763843516197724	1.4149762527814445	0.29428261676494466	2.283295460629365	0.9846240613296783	0.5004202014808692	0.948408916656677	1.964981307139799	1.645199745626739	0.23700240477915605	0.2209178799796751	0.20097516725286085	0.46772501612837886	2.508868818551917	0.9971062194856793	0.7567056131917482	1.0350045214682255	1.2090166901524009	0.7755459516947442	1.853116600645352	0.3384170693224902	1.7000590953081343	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	17.0
20000	0.6800014111903518	0.4853554010593415	3.172144743965123	0.8637461514883141	1.105824226607762	0.10785808696263792	1.3393585249513804	1.1019562785991768	2.195221201116406	0.3755973570090464	1.6737428465274213	2.9716113081110302	1.4486455138135004	0.35624985923251784	0.48024937118079225	1.2412394548418437	0.9807738081712589	2.055234604706195	0.3633055886169754	0.2691499198109039	3.860525248044306	0.5542058574921588	0.42579864069144147	0.3726760722489629	0.3957065917415285	1.7084237141248446	1.5345836291452022	1.6429492506613423	0.3457125375036498	1.8667040770479042	0.07731539670992207	0.9009200286168442	3.0844049414644057	0.863108276776528	0.726817225553188	0.7831177517795329	2.9984348714816065	0.973455135294143	0.7733775532097119	0.29219344849979323	0.933198452463455	0.12962303792580526	1.8717440224380806	1.294716730428892	4.2030488649546855	0.10281656869391206	0.7195809658082831	1.7872099779804118	0.216136588596157	2.3870446408591497	0.8054423914703758	2.279955431573987	0.06014838239975852	0.8949824596472612	1.2650046955217789	0.8627877416535635	0.4335138310751201	2.126060187853229	2.236109333347983	0.15675734551967288	0.25866970939151696	0.0875518623581935	1.301646662257426	1.7093855056616156	3.1629376197562395	0.6409119421706511	1.807800012124136	2.459647300586917	0.8784260016771617	0.8273319131049477	0.1476621031039017	0.9686403792073756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	14.0
30000	0.9522438422649706	0.4724834149756833	1.4455415479051024	0.8873602785730859	2.313032205862745	0.09960862262020333	1.9131263709885569	0.821895138446514	0.9020892882561815	1.0107800891792145	2.850003566533818	2.4095504652897066	1.970270801831991	0.14888079868115633	0.4073253122127824	1.811649719714597	0.39647346437427106	0.7841107498954585	0.5400558253164133	0.31780557105650015	4.536092746871733	0.5311941781161365	0.3407114551726576	0.9633066060189406	0.2546765917727933	0.4084197849597846	0.6612007321088238	2.617808016666217	0.21059765905064493	2.3164073025997616	0.07819250328675535	1.0334784358458216	2.7215511722007046	0.5021656980302994	1.8606417831107942	0.972337923682374	2.5760375113882796	0.9786849865655263	1.6217189887602104	0.1866991754735446	1.3804079211141802	0.10150392628766312	1.8860740509569034	0.8121705617587894	3.6305614773604513	0.12721370148618263	0.2947945601547805	2.7464605827914825	0.20539151273578338	1.3383596061328518	0.45485747957945094	1.8713096970530896	0.01723660505266421	0.2030353294438825	0.563771315101471	0.780851694315141	1.1596282832339524	1.1408774755698217	4.587440086207184	0.4130653234304733	0.22318575104306523	0.1752340182323513	1.5047455656645063	2.3558198229507807	2.966025681302834	0.47885081404767493	5.1700125135444805	1.3473960524172206	0.4027541609673292	0.637908129847248	0.2158464769286207	1.5355273903798328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	17.0
40000	2.4166706145625736	1.1028408038577275	1.5900304494896629	0.821252374800952	1.7825159448341426	0.12485603440304976	1.8797677741693697	1.5325340731134032	2.222696190804444	0.6406921710641963	3.1526500676474694	1.1180240099390923	2.298232677474829	0.6154882197083347	0.773557660847322	0.27654906432286275	0.4356192231884711	3.661024287726428	0.6270904812820514	0.4533054625953531	3.352428724677241	0.4272208219555213	0.2287669171279881	0.21598169734191658	0.24400717259468782	0.8887802550889518	0.4890823973255302	1.9826550007614037	0.4897516159151089	2.166189979229	0.1346773382082739	0.625822770139199	0.5240514876425058	0.996787547504274	1.5719001413160019	1.1481837191190147	2.262450812184766	1.8865766655206802	0.9675867787406617	0.6049536249669375	0.9293739986081766	0.2595638179427314	0.6592002822844097	3.4125854815897827	2.096951563418264	0.2877933891359183	0.5555259720782671	0.6755140659248038	0.9319518419244737	1.6357928422094128	1.144243001611781	0.4330164949934358	0.005004924471565518	0.325466807082819	0.22715369834214538	1.7952238626504835	0.14254358655768018	1.6505276399124977	0.6851736431755083	0.4608240721742335	0.16212485222456732	0.4858012190751573	1.931584284943675	2.0148575502538346	0.9596557154734734	0.7064481921384638	2.99149762409173	1.8894539405218223	0.9948674812179086	5.800386880683738	0.43050925008997504	0.8011140369742159	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	16.0
50000	4.609906440661241	1.4430009242274544	0.6424448675473238	1.1281532267169188	0.24584046471570475	0.10748936657328077	0.41841513269770136	1.2294983841897131	1.3849936376404919	1.0807378915428607	1.5323013017614142	1.9777680113940994	2.6726500633776014	0.5777752769085768	0.5482723340884678	0.2954976755765258	1.074558615111822	1.734682057695218	0.6592278626029757	0.36441641665019847	1.5375195851106525	0.28617843909359536	0.14708184440236702	0.6714676002990333	0.15357207667186348	0.8385928155711232	0.21216597985905966	1.4828780727175723	2.5961546781940736	1.3437979805454172	0.1203139665959536	0.9983177106347814	0.9132156337477355	3.41473289569411	0.2231534858360305	1.4564241400903724	3.359546975052956	0.34085951842630263	1.0526148601255705	1.375042155265645	1.5788279673052907	0.15238202758968064	0.37537346949520295	3.805780735905554	2.2673970722734826	0.43167680182239876	0.4858377969812324	1.47379482744042	1.2137887312349422	2.555604491628605	3.1976333899003544	1.5994955733327367	0.004740662305394735	0.2826396218586543	0.25384932225360496	0.763791514428364	0.4340891663612999	0.26704875780228726	0.5303254198280691	0.7774915752613407	0.23967171263381448	1.2151278326328174	1.3623048576638652	1.5693436357852681	1.0874536256246343	0.7306851293837755	1.3606335862548453	0.29643148698284777	0.9580877860075557	3.5303807410907684	3.6129309947434174	0.33788970590346773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	18.0
60000	1.7333092751283725	3.4663886277107605	1.3237308759376407	2.932091748028548	0.5844192249945334	0.22994936728845072	0.30649293883486717	1.8833831443565572	2.1046516889604017	1.473713755492398	1.0384655269034293	0.5721585381946866	0.5627485085314187	0.8153604094406999	0.4461972350992934	0.12404123138522728	0.9329534819412716	2.7871044587511142	2.1358581038772617	0.2545733791604869	0.1536898708514257	1.2268841026362294	0.20211269104661694	0.11885962399599512	0.24773206969002612	1.0804831066475655	0.4322089323962805	1.193606598781399	1.9969623782078438	5.784006715966302	0.17840302954825688	0.8977612243669648	1.6207667626297881	1.689388769596476	0.5981248896957048	1.5359529359830146	2.598192518157486	0.22858219644886293	0.5763646361386653	0.6001046372653974	0.8480116096406753	0.17150741908673467	0.2937997792998682	1.6660115235063446	1.114210475095073	0.43859497977446193	3.973614067838548	0.14463486810801646	0.35356034267520564	1.8905910554788736	0.6526860027569702	1.6211887236734996	0.015000793932420875	0.13403331306575525	0.7166527539367803	0.5328580936472048	1.5172945680243852	1.8348443938725048	0.9513521099255814	1.3186299243138886	0.9878376707350104	0.2349123977909213	1.4968389799164017	2.567689015869948	2.994810943089254	1.9164519485715892	2.238219494830799	0.5388875495936641	1.8352434433825662	0.2588779545939237	4.155803347034536	0.23699587975640257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	14.0
70000	1.9388433303960442	3.262155427334974	0.10308761228123599	2.8341849100707748	0.705937343177414	0.05792045820886293	0.05389863808320547	1.6869602040236096	0.4966429440235446	0.7077906792125818	1.4473564382218929	0.46750855247455037	0.8082957346537308	0.42145299603814196	0.19710663764769829	0.09550508877287925	0.30306120017790944	2.6174915018392704	1.4906008398615729	2.5581025024050614	1.3459263685649627	1.9231012942797288	0.04775067238132616	0.441345966851258	0.17123766754193945	1.1823479475166265	0.17049806273545345	0.5403504994599954	1.0419262265476592	1.0940747328711602	0.5201786287075942	3.478527382699025	0.9627758844539355	2.869403797727115	0.426342328544112	0.5419488644572212	2.535861555856901	0.4096397805704403	0.6187245646439025	0.9475323640648081	2.41435435281347	1.0924780071639002	1.0555469037006966	0.8834285836647835	1.7745327281458392	0.11807914167043428	0.9846172483085444	0.11585272118123713	0.23114745426294456	0.9705878911907542	0.31608742558197817	0.5961404182268543	0.14108353192510956	0.34403580621252894	0.8975665323571365	1.8928528132639064	0.8129014408738632	1.789792583507035	0.5726368378155571	0.49558200813200953	0.6067365811555262	1.3012620783099378	1.0053351616268797	3.338404677533884	1.0415708513893585	1.215545246177563	0.5723702640893853	1.7735416848955143	1.922184820177127	0.6610560088103792	1.3676518671675324	1.5610016071185755	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	14.0
80000	1.532967782745739	1.5151698586365994	0.1324104970514845	2.812050071088571	0.9755564473639894	0.23077095574472012	0.1032540709079485	0.9710898593108769	0.7393408803007087	0.29810787815353196	0.5061803673544598	2.8194584944340106	1.7893746828592638	3.0547652894664727	0.010014576482735786	0.285472686421547	0.16191803566844776	0.7527317967947295	4.538645597534587	4.5597925267889865	0.7312473445773144	1.3951386901454628	0.014777561770816357	2.1354227976241456	1.4945040354408434	0.31670551347344844	0.8262506014791166	0.2873193461584869	0.2867163076520901	0.9370121360585099	1.1926267404398176	1.2499637665931402	0.4013173397815255	1.1459221687827261	1.2611502874246379	0.2055671419777784	4.621112233952182	2.548879819011343	2.4517366754916035	0.3929602175139749	0.7159854324573662	2.298089478287154	1.2347039108637108	1.5727292515227471	1.549213930237575	0.10338965018956606	1.6865215723821796	0.1929009179797713	0.33007929711748657	0.24950670841312683	0.16341263918831522	1.1631980684354999	0.18149448368481333	0.2037313182198579	1.4731402975978112	1.9136573051665273	0.14332274836795694	1.0627062550641384	0.635338081550439	1.7886554662758734	0.4879498434512474	0.3631966083661241	0.1170842026326378	2.9509305027502903	1.2786513355218365	0.7220858205552972	0.2527031045145964	1.9944332645081906	3.024645625419571	0.1913824985866351	1.332771198289593	0.24659865537360393	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	17.0
90000	0.3189609736824211	0.43456869066267007	0.3049425163550781	1.6767582646384693	2.3988106511697156	0.32192262407496197	0.22455478246205632	0.45303222088801015	0.5652467771055713	1.466240837012594	0.3474600930421743	4.214926716597784	3.5388183654269327	1.8110508086471286	0.046611462625923784	3.0578715063021638	0.28823716617626827	3.0639535852943873	1.6843373876536627	6.0978703149629485	0.0820081457298751	0.47455840045326325	0.04454149474731303	2.513242176101709	0.4353261300552248	0.3735361232973941	0.7171381738608243	0.7215436625254785	0.2708075170689731	2.992374607616584	0.5288338533575693	0.6651034185354583	0.09218812319322149	1.7167413232199131	2.742971588095923	0.2437425521303731	1.4932535505691555	1.679518808612305	0.4655842283884824	0.6934343497735515	2.649768245261672	0.5966662758284496	2.023530739826875	1.231385150786677	0.8458966761155418	0.03892182666133742	0.09855630815974364	0.3876746357412516	0.5524915604109362	1.094971015963386	1.138823147633541	2.8144396613111176	0.447059830720702	0.3098625930723869	1.8522254963611682	0.40262762298583127	0.05230939983317945	0.26950821657500695	1.3227408715946996	1.2036105151254362	0.4864419146587371	0.8104948101129343	2.2776596356861813	0.8290426192003081	1.6512820073337782	0.3291065887519143	0.18596065965143277	1.1476574431137905	2.1841237669112346	0.30447627068412786	1.3125650993370073	1.2522490300815396	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	18.0
