# BEAST v10.5.0
# Generated Mon Apr 13 22:17:07 BRT 2026 [seed=1776129426974]
# CDV_GTRG4_skygrid_relaxed_4traits.xml
state	location_1.rates.Africa.Europe	location_1.rates.Africa.South America	location_1.rates.Europe.South America	location_1.rates.Europe.Africa	location_1.rates.South America.Africa	location_1.rates.South America.Europe	location_1.indicators.Africa.Europe	location_1.indicators.Africa.South America	location_1.indicators.Europe.South America	location_1.indicators.Europe.Africa	location_1.indicators.South America.Africa	location_1.indicators.South America.Europe	location_1.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0
10000	0.8905459012918565	0.03788870744068487	4.5487187361153785	1.3411391187929225	0.667557333470128	0.21269459707349875	1.0	0.0	1.0	1.0	0.0	1.0	4.0
20000	1.6709082225678251	0.14132155825394396	1.4678680638995893	0.18227334322203048	0.34773794396405766	1.637460655410071	1.0	1.0	1.0	1.0	1.0	1.0	6.0
30000	0.2832453131425278	0.6473974249104792	0.14149717839666695	0.38022749861425037	0.5831870859285226	2.0886116435102937	1.0	1.0	1.0	1.0	1.0	1.0	6.0
40000	1.8622183975863755	1.290106375018074	0.5811037774918069	0.17853880619697746	1.071204128043043	4.640021252119707	0.0	0.0	1.0	1.0	1.0	1.0	4.0
50000	0.3742598855812854	0.7831977598867058	0.46194807640944424	0.3701510819439596	1.1559767842946802	1.2746613851987096	1.0	0.0	1.0	0.0	1.0	1.0	4.0
60000	1.9562832838226194	0.03241325712069431	1.1715788863292549	0.055050833725421223	0.7298565917773342	0.42051716336064837	0.0	1.0	0.0	1.0	1.0	1.0	4.0
70000	3.5521477047243044	0.5380715694447736	2.3515835464924835	0.41701354259276713	0.6486321393697011	2.2881166671873956	0.0	1.0	0.0	1.0	1.0	1.0	4.0
80000	0.023146650160825094	0.35213421952755003	0.424364482149876	0.147234716400758	0.6876784125505728	0.6598292571768277	1.0	0.0	1.0	0.0	1.0	1.0	4.0
90000	1.273828733061563	0.3673839546423177	0.15191255657119496	1.1584543537188665	0.551893465644529	1.7352343682918858	1.0	0.0	1.0	1.0	1.0	1.0	5.0
100000	1.316788570458205	1.022571577320106	0.08800488425715683	0.6171557828493687	0.13694493351953935	1.4947182384677447	0.0	1.0	1.0	0.0	1.0	1.0	4.0
110000	0.36209141641189535	1.4430451546445333	0.47315781354506126	0.27290465515636425	1.3408269624203484	1.2293269812596626	0.0	0.0	1.0	0.0	1.0	1.0	3.0
120000	0.6872948752138164	0.027297818267811382	0.4733927751099427	0.13788982493664484	0.14976458529977893	0.1941543248499357	0.0	0.0	0.0	1.0	1.0	1.0	3.0
130000	0.1641560135493955	0.282598985095164	0.9206718530247591	0.055371864347226435	0.5969849585956851	0.717881258265173	1.0	0.0	1.0	1.0	1.0	0.0	4.0
140000	1.5887101298096935	0.2989470721556457	3.793428423824341	0.08156630885964918	1.1212702731852098	4.88685203128284	0.0	1.0	0.0	1.0	1.0	1.0	4.0
150000	0.3883914546404084	0.5780343224822853	0.8416895295393892	0.019700693087385257	0.45095585309974	0.32978628680733996	1.0	0.0	0.0	1.0	1.0	1.0	4.0
160000	0.5091359567198981	1.1759601484322362	0.2122728462486789	2.415326173828573	1.274954199952936	1.5008253652992354	1.0	1.0	1.0	1.0	1.0	1.0	6.0
170000	1.5513545349765627	0.21636068145599183	0.007010064806593984	0.22756531260117668	0.2573170132340807	0.7654311813711994	0.0	1.0	1.0	1.0	1.0	1.0	5.0
180000	2.6901953390118893	0.17761118138084475	0.0514882473927547	0.17359192824477523	0.5554443350595296	0.6608441644505787	0.0	1.0	1.0	1.0	1.0	1.0	5.0
190000	0.8426180274139423	3.7011827615038193	1.2361116573561848	0.6229425962779706	1.3929621662257878	3.5243128367462466	1.0	1.0	1.0	1.0	1.0	1.0	6.0
200000	0.5936578186406201	2.6633456230060957	0.8684290336485533	0.47686036533325404	1.2654790583370052	1.7044439109645444	0.0	0.0	1.0	0.0	1.0	1.0	3.0
210000	0.07985386897596539	1.886640076357821	0.6738039465725671	0.847173769319431	2.0598533600162012	1.2676966140990715	1.0	1.0	0.0	1.0	1.0	1.0	5.0
220000	0.17726345630291343	0.4895275673395419	0.10876299862504282	4.146137069478244	0.7009459157055073	1.2430513542764203	1.0	0.0	1.0	0.0	1.0	1.0	4.0
230000	0.3209134273820921	0.1944770063069294	1.010024868263313	0.8108497362327796	2.1245426108071777	2.800328243395847	1.0	1.0	1.0	1.0	1.0	1.0	6.0
240000	0.07434452468281802	1.782002195126746	0.6273178344749313	0.2124374372301379	0.4117739154945183	1.1053114451198616	0.0	0.0	0.0	1.0	1.0	1.0	3.0
250000	2.3845689812939366	1.3478735846860321	1.5282751341652054	1.9555060874594319	1.0926438461915453	0.44657729584536404	1.0	0.0	1.0	0.0	1.0	1.0	4.0
260000	0.8250962329003032	0.7116827867010467	6.436623012519603	0.34653166285449094	0.620467735392499	1.2264276669647376	0.0	0.0	1.0	0.0	1.0	1.0	3.0
270000	0.8973586881147422	0.32921215580440627	1.0400226271107609	0.14768994564073085	1.10154406561692	0.6305684500976586	1.0	0.0	1.0	1.0	1.0	1.0	5.0
280000	1.0671364981289895	0.1345244856415998	0.5806871520514382	2.9580620812055707	2.5115452463587413	1.7499765307296518	1.0	1.0	1.0	0.0	1.0	1.0	5.0
290000	0.34457583726211855	5.164837396164675	0.18249272063444344	0.21490031604681703	0.5472348369934762	0.6682753007634268	0.0	1.0	1.0	1.0	1.0	1.0	5.0
300000	0.10360108376705636	0.2802819323512889	0.7651844324700292	3.244879322001902	1.3491353166805207	1.3250715906997474	0.0	1.0	1.0	0.0	1.0	1.0	4.0
310000	0.721123494825802	0.4573362982369727	0.13472473458124595	0.3104810095915971	0.6034486631837632	0.4219363510218859	0.0	1.0	1.0	0.0	1.0	1.0	4.0
320000	0.6553372967758805	0.8660300560775128	2.222314062297558	0.18009818485481688	1.2898411827019127	2.099081464413216	0.0	0.0	1.0	1.0	1.0	0.0	3.0
330000	3.8896340074106814	0.5984371569530915	0.5523915737790384	2.409434356340347	3.1482447298377805	0.7467730879336355	1.0	1.0	1.0	0.0	1.0	1.0	5.0
340000	0.17115800103135745	0.5290368568184871	0.3296375310011084	1.0834985706530984	0.5498317396671434	1.7581707280000027	1.0	0.0	1.0	0.0	1.0	1.0	4.0
350000	0.06937144748403971	1.418170380461733	1.663403993675675	0.06323555336954063	0.7583493870534878	0.3548449934840567	0.0	0.0	1.0	0.0	1.0	1.0	3.0
360000	0.8414844073759074	3.287853847369444	0.6767242846398563	2.041645823714396	0.9425321858539992	0.8176482516266892	1.0	0.0	1.0	0.0	1.0	1.0	4.0
370000	1.0826402790295941	0.19276674383492612	0.17283381393866037	0.6722211427991568	0.6382622374972289	0.6016165514701558	1.0	1.0	1.0	0.0	1.0	1.0	5.0
