# BEAST v10.5.0
# Generated Mon Apr 13 22:17:07 BRT 2026 [seed=1776129426974]
# CDV_GTRG4_skygrid_relaxed_4traits.xml
state	location_2.rates.Argentina.Brazil	location_2.rates.Argentina.Gabon	location_2.rates.Argentina.Germany	location_2.rates.Argentina.Hungary	location_2.rates.Argentina.Italy	location_2.rates.Argentina.Uruguay	location_2.rates.Brazil.Gabon	location_2.rates.Brazil.Germany	location_2.rates.Brazil.Hungary	location_2.rates.Brazil.Italy	location_2.rates.Brazil.Uruguay	location_2.rates.Gabon.Germany	location_2.rates.Gabon.Hungary	location_2.rates.Gabon.Italy	location_2.rates.Gabon.Uruguay	location_2.rates.Germany.Hungary	location_2.rates.Germany.Italy	location_2.rates.Germany.Uruguay	location_2.rates.Hungary.Italy	location_2.rates.Hungary.Uruguay	location_2.rates.Italy.Uruguay	location_2.rates.Brazil.Argentina	location_2.rates.Gabon.Argentina	location_2.rates.Germany.Argentina	location_2.rates.Hungary.Argentina	location_2.rates.Italy.Argentina	location_2.rates.Uruguay.Argentina	location_2.rates.Gabon.Brazil	location_2.rates.Germany.Brazil	location_2.rates.Hungary.Brazil	location_2.rates.Italy.Brazil	location_2.rates.Uruguay.Brazil	location_2.rates.Germany.Gabon	location_2.rates.Hungary.Gabon	location_2.rates.Italy.Gabon	location_2.rates.Uruguay.Gabon	location_2.rates.Hungary.Germany	location_2.rates.Italy.Germany	location_2.rates.Uruguay.Germany	location_2.rates.Italy.Hungary	location_2.rates.Uruguay.Hungary	location_2.rates.Uruguay.Italy	location_2.indicators.Argentina.Brazil	location_2.indicators.Argentina.Gabon	location_2.indicators.Argentina.Germany	location_2.indicators.Argentina.Hungary	location_2.indicators.Argentina.Italy	location_2.indicators.Argentina.Uruguay	location_2.indicators.Brazil.Gabon	location_2.indicators.Brazil.Germany	location_2.indicators.Brazil.Hungary	location_2.indicators.Brazil.Italy	location_2.indicators.Brazil.Uruguay	location_2.indicators.Gabon.Germany	location_2.indicators.Gabon.Hungary	location_2.indicators.Gabon.Italy	location_2.indicators.Gabon.Uruguay	location_2.indicators.Germany.Hungary	location_2.indicators.Germany.Italy	location_2.indicators.Germany.Uruguay	location_2.indicators.Hungary.Italy	location_2.indicators.Hungary.Uruguay	location_2.indicators.Italy.Uruguay	location_2.indicators.Brazil.Argentina	location_2.indicators.Gabon.Argentina	location_2.indicators.Germany.Argentina	location_2.indicators.Hungary.Argentina	location_2.indicators.Italy.Argentina	location_2.indicators.Uruguay.Argentina	location_2.indicators.Gabon.Brazil	location_2.indicators.Germany.Brazil	location_2.indicators.Hungary.Brazil	location_2.indicators.Italy.Brazil	location_2.indicators.Uruguay.Brazil	location_2.indicators.Germany.Gabon	location_2.indicators.Hungary.Gabon	location_2.indicators.Italy.Gabon	location_2.indicators.Uruguay.Gabon	location_2.indicators.Hungary.Germany	location_2.indicators.Italy.Germany	location_2.indicators.Uruguay.Germany	location_2.indicators.Italy.Hungary	location_2.indicators.Uruguay.Hungary	location_2.indicators.Uruguay.Italy	location_2.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	42.0
10000	0.24718021165247184	0.6928926175398649	0.8029980040689951	0.36123731665250003	0.09144107280250828	3.360923330311847	2.7304443269856886	0.6091728727129141	3.9292668358701026	0.3016077305513657	0.9742364509751327	2.0840098712642368	1.5394575344449906	0.19881251083052348	3.171379714807467	0.3322923586991759	2.167670888938181	0.30810098416644455	1.3618139160911573	2.6571660408105147	0.5038573845760708	0.9586401272444706	1.205820628049068	0.6838537167046205	2.855116425310223	0.41399554868016897	4.955987362802665	0.3991991534832334	0.6075219271492198	2.7859694353226576	4.726389858755283	0.55177868384788	2.2982079230990804	0.8842224505462515	0.6051000574069836	1.7733198246750774	1.513780399593173	1.3026283513400418	0.314153472720057	1.0015869838771585	0.20052665372296324	0.6097338227327797	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	18.0
20000	0.046017342779426595	0.5254434635497001	0.7368219773284516	0.37778761706895975	0.817533579406293	2.5119692164674485	0.32892149495270934	4.396832794440459	2.131674161631527	2.2823652210519567	0.4877747893866172	0.778139804128125	1.4550813611646773	1.3916475873173282	4.174794803605524	2.415674745269569	0.7434622583432594	1.5368374966999045	1.846244997933745	3.565411662856532	0.6346131112880967	0.2582926420932586	0.2044438843683192	0.24884933678403393	2.118659303927692	0.8365643186257086	0.7004627111852991	0.10369582167008845	1.6102499993912627	2.154530481837213	2.0628789086312387	0.2566288607843237	3.1171805422903405	0.7233493570429114	0.49626595215360675	0.3183121008117029	1.3692749593514102	3.0146158256369238	2.6733329421765952	0.32897816140276764	0.04533262075579243	1.2621895287607825	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	14.0
30000	0.33868972615495097	1.2543982448430937	0.5461623063600263	1.0713669045177083	4.273893535234398	0.2316718061373158	0.23625213232401907	1.4838215252282492	0.29615121610299516	1.7126813152660945	0.7311866337615618	1.6917773414591757	0.16203194850341524	0.32005393689366735	0.6397732434074067	1.239001517631708	0.3183972001404453	0.2428417802013207	1.7882561399467383	0.7191912885423044	0.4481788368749884	0.19306243719379074	0.6353170081437352	0.4582877305980552	2.236599730852844	2.836011513410714	0.7072866706319184	0.008601585963683286	3.5385214946633106	0.42151905912161025	1.3047647061759624	1.3710156165542369	0.475011402033956	1.4098052431786054	0.5889058433300821	0.27975694974146303	0.8038571975387405	0.9884932168796041	1.4434387667847937	0.23121767931899415	0.09353841567941604	2.6002751407499094	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	10.0
40000	0.31299580190769044	0.20465395482397913	0.6053135203781644	1.8178490551146662	2.3198578121564566	1.386193896882602	0.654585850924588	0.5481160031153741	0.1543704653394983	0.5395452636620622	0.6824325345806149	3.6621748425483385	1.6470025487120385	0.2645394117109269	1.1049849008260204	1.353234193909088	0.8195533802559567	0.0543013084359357	1.8912288708608822	0.49159821427297923	0.3437410371190569	0.956663767032124	0.09069396101050416	1.260631018105982	0.7027339418228743	0.5226039619343077	2.3173459874337037	0.017688731566160968	2.5816055218038563	0.775635111930776	2.1148395220775096	0.607626343899776	0.19830534026412183	0.190033859962602	0.4368031403389438	0.30806339643318265	1.293067287956654	2.4194890828865643	0.17531631347617274	0.2542505539842018	0.11725902712523485	0.6729792841010314	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	11.0
50000	0.24449112402740808	0.1644121108089105	0.39022164580837077	0.5255474077675979	0.9745952678548887	0.15808355997342785	0.1055276066998669	0.3699202268349958	0.11912058856495049	0.39126583508058066	0.7032131436510877	0.8142235778770844	2.9637350077019424	0.01533014629542403	2.748839054089237	1.506991549111108	2.2234718712415757	0.002797614241659791	1.0016887739102622	0.040813262950057945	0.3353041073096945	2.0561195624940805	0.26250832150447506	0.03255283261834713	0.3823901413595336	0.43679684835966054	0.6594218869408487	0.012028591374456214	2.6737858005580915	1.0386061760869207	2.0790004659911774	0.5436175198688787	0.00861334151481082	0.5460051899490298	0.632726061737035	0.872629462133029	0.49531994580183186	0.6393722152559468	0.23686251018682847	0.37857092364420214	0.12216079940862212	0.38461021264575945	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	14.0
60000	0.3694612382958721	2.0188207502274116	0.1808905167989066	0.313216114084918	0.19950688693903693	0.1470246762601414	0.11238849132909812	1.3033462488534795	0.43859531308335603	1.2876924545418476	0.9329525795428887	1.6477652857511464	2.97074670243206	0.41011170614554193	0.4930252449621925	1.2709821009035422	0.6392185776524656	0.035198715152929334	1.272481504291372	0.010244605554034756	0.44105692039665484	3.0115554358738255	0.1446284643451234	1.3625846640835055	0.5979173067114355	0.26972669880740663	0.5626238854645164	0.012858968854265154	0.28058821877283474	0.10123457870545878	1.0593183151640215	1.1808671527132606	0.2532279535420869	0.9290147488962437	0.3678307569456776	0.49205642382061004	5.246529495223174	2.080052152309922	0.32640265944230784	0.05068509375447438	0.4498739744917088	0.8494018802175303	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	15.0
70000	0.6468186967412483	0.8474498751890865	0.36461246887970045	1.6677664522780504	0.966605954361867	0.13943599668236	0.5458794780947288	0.16902391245553183	1.9336897595331637	1.3623026504788935	0.6476216011935748	2.0635530363273986	0.9466210455862403	0.2335658610450246	1.3230540375768425	0.9684137027980717	2.4895999089991165	0.17221507146027648	1.2268394585082347	0.0027200446668008546	2.2856588155798505	1.3242584699997177	0.10127015206277865	0.24247806528112523	0.11009254311807155	0.20478177133635891	0.45765560753866324	0.01834039096127374	0.20216644899875316	1.678948704659315	2.8716749426786112	1.032887967470546	0.11009038368652188	0.12820294967698165	1.3634843801918175	1.7469065512388307	0.4917472519864915	0.20876243996911692	0.1679207438852902	0.41959762173929466	0.4014805811733839	0.5170216051210448	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	13.0
80000	0.6818731867563276	2.0437713415492533	5.613695792223675	0.5212225921116704	0.5771881887872262	0.21740622218676872	1.3296480646310336	0.1969137678240212	0.5728710038106984	0.3018529786545294	1.6914420678227233	0.2733685329836931	0.6480942331135026	0.12398133011551075	1.216543372203434	0.7577441400923759	1.5236972835992855	0.41887815170848036	2.1435854852349205	0.12332779008191176	0.6056990190538495	0.6572022685810726	0.02797309795826964	2.3732600218327047	0.04530629453930448	0.780246439900887	0.8599695633206742	0.071488181080063	0.4476293255455915	2.129382400904617	1.8431976047340477	0.46292449807431146	0.5077022726449221	0.23770722921510726	1.0891704905538395	1.6451394327964588	1.3472477131816742	0.0659995405020598	0.6580673698406159	1.4153906626576953	0.6584734649090318	0.4958364666551175	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	13.0
90000	0.4772217073252916	3.6227691508048334	0.6968462263801048	0.5959972615587854	0.7404325918723929	1.1092767977635352	0.4037751818575554	0.7945077198646122	0.37050446948714527	0.16372263874147294	1.1645258543832002	0.5200865690486512	0.030616307632045744	0.2701644238822295	1.0303512573772422	0.18356936399235826	1.8705882103972804	0.5646006027366611	3.5658158405484004	0.1577441005835438	2.33742849402625	0.5557000985308875	0.010218669909850023	2.096859598505585	0.5956041144399428	1.4603815573541212	0.8324887430999395	0.14115845011795555	0.15942139127500676	0.9701225639366459	2.3261490832583482	0.34637845338023526	0.04060242428276236	0.6795808112920627	0.024082234144286847	1.856212678611338	2.0051515362414927	0.08829717102013603	1.2242390118246798	1.1229988932206258	0.10558087165681158	0.926142535668836	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	12.0
