# BEAST v10.5.0
# Generated Thu Apr 09 11:53:39 BRT 2026 [seed=1775746417747]
# CDV_GTRG4_skygrid_strict_4traits.xml
state	host_2.rates.Callithrix.Canis	host_2.rates.Callithrix.Cerdocyon	host_2.rates.Callithrix.Lutra	host_2.rates.Callithrix.Martes	host_2.rates.Callithrix.Mustela	host_2.rates.Callithrix.Procyon	host_2.rates.Callithrix.Pusa	host_2.rates.Callithrix.Vulpes	host_2.rates.Canis.Cerdocyon	host_2.rates.Canis.Lutra	host_2.rates.Canis.Martes	host_2.rates.Canis.Mustela	host_2.rates.Canis.Procyon	host_2.rates.Canis.Pusa	host_2.rates.Canis.Vulpes	host_2.rates.Cerdocyon.Lutra	host_2.rates.Cerdocyon.Martes	host_2.rates.Cerdocyon.Mustela	host_2.rates.Cerdocyon.Procyon	host_2.rates.Cerdocyon.Pusa	host_2.rates.Cerdocyon.Vulpes	host_2.rates.Lutra.Martes	host_2.rates.Lutra.Mustela	host_2.rates.Lutra.Procyon	host_2.rates.Lutra.Pusa	host_2.rates.Lutra.Vulpes	host_2.rates.Martes.Mustela	host_2.rates.Martes.Procyon	host_2.rates.Martes.Pusa	host_2.rates.Martes.Vulpes	host_2.rates.Mustela.Procyon	host_2.rates.Mustela.Pusa	host_2.rates.Mustela.Vulpes	host_2.rates.Procyon.Pusa	host_2.rates.Procyon.Vulpes	host_2.rates.Pusa.Vulpes	host_2.rates.Canis.Callithrix	host_2.rates.Cerdocyon.Callithrix	host_2.rates.Lutra.Callithrix	host_2.rates.Martes.Callithrix	host_2.rates.Mustela.Callithrix	host_2.rates.Procyon.Callithrix	host_2.rates.Pusa.Callithrix	host_2.rates.Vulpes.Callithrix	host_2.rates.Cerdocyon.Canis	host_2.rates.Lutra.Canis	host_2.rates.Martes.Canis	host_2.rates.Mustela.Canis	host_2.rates.Procyon.Canis	host_2.rates.Pusa.Canis	host_2.rates.Vulpes.Canis	host_2.rates.Lutra.Cerdocyon	host_2.rates.Martes.Cerdocyon	host_2.rates.Mustela.Cerdocyon	host_2.rates.Procyon.Cerdocyon	host_2.rates.Pusa.Cerdocyon	host_2.rates.Vulpes.Cerdocyon	host_2.rates.Martes.Lutra	host_2.rates.Mustela.Lutra	host_2.rates.Procyon.Lutra	host_2.rates.Pusa.Lutra	host_2.rates.Vulpes.Lutra	host_2.rates.Mustela.Martes	host_2.rates.Procyon.Martes	host_2.rates.Pusa.Martes	host_2.rates.Vulpes.Martes	host_2.rates.Procyon.Mustela	host_2.rates.Pusa.Mustela	host_2.rates.Vulpes.Mustela	host_2.rates.Pusa.Procyon	host_2.rates.Vulpes.Procyon	host_2.rates.Vulpes.Pusa	host_2.indicators.Callithrix.Canis	host_2.indicators.Callithrix.Cerdocyon	host_2.indicators.Callithrix.Lutra	host_2.indicators.Callithrix.Martes	host_2.indicators.Callithrix.Mustela	host_2.indicators.Callithrix.Procyon	host_2.indicators.Callithrix.Pusa	host_2.indicators.Callithrix.Vulpes	host_2.indicators.Canis.Cerdocyon	host_2.indicators.Canis.Lutra	host_2.indicators.Canis.Martes	host_2.indicators.Canis.Mustela	host_2.indicators.Canis.Procyon	host_2.indicators.Canis.Pusa	host_2.indicators.Canis.Vulpes	host_2.indicators.Cerdocyon.Lutra	host_2.indicators.Cerdocyon.Martes	host_2.indicators.Cerdocyon.Mustela	host_2.indicators.Cerdocyon.Procyon	host_2.indicators.Cerdocyon.Pusa	host_2.indicators.Cerdocyon.Vulpes	host_2.indicators.Lutra.Martes	host_2.indicators.Lutra.Mustela	host_2.indicators.Lutra.Procyon	host_2.indicators.Lutra.Pusa	host_2.indicators.Lutra.Vulpes	host_2.indicators.Martes.Mustela	host_2.indicators.Martes.Procyon	host_2.indicators.Martes.Pusa	host_2.indicators.Martes.Vulpes	host_2.indicators.Mustela.Procyon	host_2.indicators.Mustela.Pusa	host_2.indicators.Mustela.Vulpes	host_2.indicators.Procyon.Pusa	host_2.indicators.Procyon.Vulpes	host_2.indicators.Pusa.Vulpes	host_2.indicators.Canis.Callithrix	host_2.indicators.Cerdocyon.Callithrix	host_2.indicators.Lutra.Callithrix	host_2.indicators.Martes.Callithrix	host_2.indicators.Mustela.Callithrix	host_2.indicators.Procyon.Callithrix	host_2.indicators.Pusa.Callithrix	host_2.indicators.Vulpes.Callithrix	host_2.indicators.Cerdocyon.Canis	host_2.indicators.Lutra.Canis	host_2.indicators.Martes.Canis	host_2.indicators.Mustela.Canis	host_2.indicators.Procyon.Canis	host_2.indicators.Pusa.Canis	host_2.indicators.Vulpes.Canis	host_2.indicators.Lutra.Cerdocyon	host_2.indicators.Martes.Cerdocyon	host_2.indicators.Mustela.Cerdocyon	host_2.indicators.Procyon.Cerdocyon	host_2.indicators.Pusa.Cerdocyon	host_2.indicators.Vulpes.Cerdocyon	host_2.indicators.Martes.Lutra	host_2.indicators.Mustela.Lutra	host_2.indicators.Procyon.Lutra	host_2.indicators.Pusa.Lutra	host_2.indicators.Vulpes.Lutra	host_2.indicators.Mustela.Martes	host_2.indicators.Procyon.Martes	host_2.indicators.Pusa.Martes	host_2.indicators.Vulpes.Martes	host_2.indicators.Procyon.Mustela	host_2.indicators.Pusa.Mustela	host_2.indicators.Vulpes.Mustela	host_2.indicators.Pusa.Procyon	host_2.indicators.Vulpes.Procyon	host_2.indicators.Vulpes.Pusa	host_2.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	72.0
10000	0.42662382426405937	0.8234085057540181	2.018866702727179	1.3956580646557872	0.8574918287373902	1.2987051230572908	1.009352465736898	0.6470407762328186	0.6645164204334876	1.9954943518910448	0.7221273478109478	0.4641602807682334	0.2762128095349511	0.5079511175214606	2.7866144003320596	1.9082230604521409	1.4408345302708283	0.46233852516563295	1.3989711588181133	0.8704639162105429	2.400246693801416	1.0700280980890147	0.900911193960735	1.0456870358024455	0.3902832106236057	0.3514711069583034	1.2405052405763464	1.4290670103494134	2.796639357563965	1.0500551346835414	1.0003894866805347	0.19867946584275367	0.3633374148923081	0.43272944285315523	0.6228828471764112	1.2657706739458405	0.29542070455920344	0.6418057492658542	1.4795357765805166	4.231380117524544	0.8171759966180837	1.0323668654443312	1.5917620958494298	2.1235781244884344	0.968904014571684	1.6788374302604332	0.0736815318251187	0.315505454795616	1.2901281204527728	1.7136428818199674	0.673811745016822	1.204233791270847	0.8464813831024368	1.9250829819006505	0.881796969599925	0.8473531417448071	2.595922184418115	0.21300614435913245	2.2820865820490144	5.087398285625952	0.9008224786443865	2.7572150498078845	0.6033426190442606	0.5665358707143252	1.0649467193676063	0.7245824225665831	0.798423619023756	0.8877930254292778	0.608772115625815	0.27733568817978965	2.7800333991549944	0.9643527888351536	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	17.0
20000	0.8152519701509283	0.5979116444636543	1.859630196505317	0.7251764283920458	0.9488508629707688	1.3932400986677589	1.2540568128534513	3.591581585965045	1.7520808657332174	0.5827391798076286	1.751245460201319	0.5726413461071853	0.4918704942221575	0.8007722658475868	0.7099464864741348	1.7553136804731997	0.37258862361714296	0.6213769660830358	1.049320879353472	0.2748168404697566	1.8985964667617607	0.698552184327641	0.5470056535011045	2.232561892212281	0.4246226822114034	0.8416691152360581	1.5355308870301925	3.1530487113121186	0.2189406460288969	0.2996076900662077	0.8184892984083082	0.723822329722651	0.711764680018076	0.5017861749038901	0.2659720279705216	1.801834582184393	0.5294527886947636	1.868469513362391	2.2206044496610056	0.42211481100333936	0.2827683261349749	1.2648247280019307	0.2578752464605237	2.30471081551916	1.0420005565293993	1.1937921792400188	0.027062498618515698	0.610522328452862	0.4736632350200579	1.8868166326992108	0.9334198689787074	1.424076475847909	1.776831356602898	1.9878444763644607	2.322598501004086	1.0233435624143943	1.6596539540337316	0.07009092668583874	3.2118173488531396	1.3121808003937834	0.46328031560337596	2.521555751697769	2.6702990832946485	0.32524115360953515	0.24898732389287423	1.800155082690271	1.4413786678893987	0.84371240932115	0.306856979857967	0.3492988718447952	1.3260323512767784	1.2168837329276405	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	16.0
30000	0.43470397707848907	0.7572141787032318	1.1985424605815704	1.2104647787465956	1.292954291955621	2.619411666359311	3.0362802486831892	1.350828534258136	0.7796031830076195	0.36115843595356456	2.1575518083345173	0.41237687853968447	0.4261506485735337	2.8591583293139324	0.7547823571010488	1.5726532303318546	0.2060614291516476	0.37012955105537154	0.5159858275384342	0.6549011799753676	1.7619758572719217	0.7664650883028119	1.5998454222487566	3.321259183806634	0.39953529903745416	0.5312371738330016	1.3945061262610519	5.369228491480858	0.1674784069957464	0.8442681300380914	0.1258016669053749	0.9992710007018355	1.1337385504123805	0.7987978835444517	1.3505716384612578	1.2087613648435782	0.8254401845860774	0.5727473978626961	1.753428110820415	1.2322968146010609	0.32501297863965584	4.651905126909258	0.4954625476139671	1.726187779081697	1.6524828870915516	0.5477338703109175	0.06858889367458439	0.9377335416943329	1.617251635095535	0.5688092231974439	0.6457665245850224	0.2707003992660501	0.9625850288483683	0.750634655925932	1.620754948786898	1.076072550995759	3.071898868853234	0.10846487285763273	1.7246242400782423	1.3963642066103663	0.5797189115759204	4.076122120446357	1.017011707244826	0.8062759404797016	0.4124916945081749	0.8732657197619532	1.4251736525004137	0.3332984499661146	1.2880063348473696	0.28114990393287936	0.5055928324167694	0.9596303391188222	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	17.0
40000	3.4195920859434565	2.9905344459629744	0.9497372035038169	1.035927840487231	1.390357605529428	2.2107827596739345	2.1443827364737134	2.02918483487829	0.733869732805111	0.387335190131724	3.7496488408946083	0.1501035192282882	0.3899314026569958	2.934175599857939	0.5619070526936478	1.4558480299475878	0.15753036767410794	0.4338253474323125	1.2890525174388936	0.4473675572869262	1.6313590493712007	0.5853115626875287	1.45955760884678	3.0494520385637878	0.1258066799255877	0.8588759267441939	5.987997081932571	0.8468085325203476	0.13969698408746586	0.5343071235771137	0.7814824446883698	3.9561263592590445	1.1172405544865058	0.20979917620403477	0.7190974231548047	1.8659634694809266	1.485650008847621	0.12337236345399398	1.56705310307022	0.8699207387917475	1.0878282429503472	2.500350516105252	2.643490734712538	1.566610030634709	0.4430586290918411	1.8814768840789462	0.16366420788089583	0.8553470496369467	3.643176750350007	0.452036841832114	0.37317410799681106	0.914148728000339	0.8198729280721014	0.4280035895210306	3.0243634664984675	2.1083196042077463	1.5270907668221108	0.4504876776671912	0.4263306737858675	0.38466526352259955	0.336742873396663	3.77053861508908	0.38888101054915086	0.7771768206384347	1.5763542038266956	0.8366388216528562	2.6329295693406705	0.3375954447072167	1.9138270564411584	0.992590549353042	0.2869450618614598	0.5635478818489839	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	18.0
50000	2.4581207527958107	2.1317096219207925	2.4608221134702872	1.4029076162835439	1.7532948355907263	1.147674774868165	1.4700953464435151	3.568474256971299	0.6818510924995086	0.34762298905942984	3.592039349715338	0.18006629662428517	0.41641868223229145	1.3703081081284492	0.12984831216036236	0.998271723546118	0.7838753802147819	0.033143522136654016	3.94975968042172	1.5445173654920796	0.7699663442571444	2.9583528598612845	1.0894954681957167	1.38755796861317	0.03288904730185358	2.7584196566040404	0.2680486957242477	2.480593926067596	2.4604017677226193	0.42491877628576896	2.4420879527819963	1.4085071315209305	4.352981508619719	0.405333899122244	2.181176497031378	1.6236641259125784	2.4361951943985907	0.13164469796231593	0.12012792526713216	1.897338414351324	0.5689303139910485	1.4509988262166815	0.3029086239416166	0.37151103565675403	3.666870409110817	0.9431787718661238	0.1286790951283186	0.9628536249020353	1.5011793475439172	0.9228233865225647	0.9664378121293983	1.307752456462838	1.4879781518138984	0.130935492865336	1.9944652744790923	1.7648762626775787	0.378831921391669	1.5906910868390385	0.7895565446758214	0.11256143710434798	0.08213714800726607	0.40786408563951243	1.2704943595794016	0.6245759158373745	1.4641749122855032	0.32589533757475797	2.6648173872215146	1.8580991452124465	2.4353126271996817	0.803089958558868	0.9993373674812968	0.5499428118286371	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	20.0
60000	2.8845900204992314	3.3770725477443087	1.1412255118376513	0.4212797652890069	1.4333418908531756	1.2023597380028384	0.8341399863372997	0.9224537487752548	1.4022397279136882	0.429014639740584	1.6485586851545648	0.4297545580390037	1.771797912574677	2.6481962561535553	0.12948423617839264	0.5370006182033004	0.7979124599120551	0.05359352065159744	1.2229974377026385	3.4086994505170334	0.9462903814467369	1.4757278189960537	1.2372911418615222	1.1843124371247824	0.580669731302343	2.503831535136028	1.54998900500458	0.286617447026148	4.902202029017561	0.8686603690787283	1.2148081851779764	1.0515291519000747	2.8348788624141594	0.22302944388055432	1.365202327114025	3.642848282493698	2.164112477679849	0.16998570194714757	0.2743749967548958	0.5332635967134062	1.1007784907283418	0.5856621495064428	0.7942391419751876	0.5438476383571434	1.3069762332919321	0.6122068541940735	0.06869612525611439	0.2660273675571129	2.072733559289106	0.8539522483278804	2.8750525592482954	0.8960450707205742	0.7113346734637498	0.1476614602379795	1.1507914567479978	2.4945248594111686	0.25587892771430304	2.5650362777711995	0.9209601561570205	0.07337359086044493	0.2021106541414774	1.021127090393795	1.8558095733447897	0.535106286887658	2.0634942802543152	1.146009394830009	0.587073415382599	1.729567138161014	0.5922266525799372	0.8982380218202356	3.0689077715512156	0.2474824039934677	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	16.0
70000	0.24193862516256268	1.2989909204724064	0.772599205179606	0.2332266336684485	1.4175534397079723	0.7591002717133121	0.8381040557539975	2.1359456901901246	1.2890805544870272	1.5821503891423105	0.7241056673361811	1.370053165240267	2.350125133030421	1.8868761029076597	0.03661932972475415	1.8342535349263844	0.5340616718595407	0.12766956637150803	0.49139387566330334	2.529019378428311	1.0489859018312553	1.1759751891738104	2.6623943712188316	0.9535041483574667	0.2185115484562701	3.7571099639596564	1.5044214462449137	1.0631393179854647	0.2981147668813268	0.4855029192792964	1.1989898618330626	0.36255769360374485	1.9147754513647033	0.7127357874509317	1.2957824548469852	6.025159687342258	1.3280316536197376	0.5826818851025186	0.7193995948274471	0.6072164903824719	2.2794984978480874	0.32029478515923704	2.607701675175048	1.1311786336474767	0.5628643570312453	0.6058752397503151	0.6739418509474776	1.0939476027408748	2.408138052335495	0.19662671901466233	0.7667304286918649	0.8740541900429097	0.875740759598478	0.07748681230007433	1.1311392799293123	1.0128486680794249	0.35477043882035525	2.686188822980205	1.0857620296996526	0.20924343502262435	1.1150524399759718	0.6461072866075777	3.0128947120010614	0.22501519985654736	0.5078863889820855	0.7272446489135599	0.2975406857678172	3.2032881960799195	0.16222651346565994	2.5750266410706835	0.5211388408420634	0.4249397947045371	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	17.0
80000	0.46892599496796394	1.1177465709266918	1.708639318140985	0.6424980639162537	0.23277291984289217	0.7535592244055439	0.199355369239838	1.2211659082133886	0.46431353025772015	2.5013228329815043	1.1026537095272488	0.16895452793543236	5.343717057671279	0.8456609527540252	0.015729467557208103	1.1105404436144528	0.9871452155339173	0.7535353013622431	0.09597887765358717	1.5877982316402035	0.9244072046537414	0.7005920293107979	0.3061795461208946	0.936407684010823	0.2437689142641757	0.8552694169771485	1.6606222156792492	1.9731738666113934	1.4852652887085485	0.10769490705420269	2.0365522295726444	0.9935334744367762	2.153472041656204	0.29847938095450177	2.2284414513650237	0.42229681803577995	2.2329410773958585	0.1783339838671746	0.5212160972693783	0.48095314973038633	0.6189285674118744	1.0059029348123727	0.34296715768742014	1.1620729662293106	0.21612167096754156	1.0360500378567972	0.07145002359611957	0.6424134316975663	2.497464311915538	0.13213033181222258	0.30287312633269975	1.9849525004234239	0.8341606731806943	0.32809668182772955	0.7185460184616173	4.03673915796811	0.7280908864066636	1.0028737159903944	0.4441469854258985	0.25796381753431885	0.7564373337341678	0.2274314006697108	5.25454030452203	1.5852302878918731	0.3270725612998381	0.7875112354791148	2.4059055084037326	1.0751069765691161	0.0812164996294073	3.0493921281600955	0.5360424229894349	3.4135384875026205	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0
90000	1.3688451587363972	0.25236551717273653	2.1400634067668403	0.3455457091120736	0.18582663034889696	1.1540233467968946	0.20408991962459466	1.2389061073368444	0.7533191666967337	2.6261263297097215	2.3211908948395776	0.3059164325090619	2.214320514619609	0.1724518020316496	0.023300034711316926	0.6767847916444407	0.827134666780612	1.2546878397067565	0.17104789189799527	1.6074986451281	0.44712033689403	2.429886885240854	0.33055364913897495	1.4773338772827744	0.606555667901514	1.3388066110729375	1.454517864228959	0.7999566582383328	3.3108955783631826	0.24044243501934207	0.4428727529916818	2.252122994316819	2.6196953366977707	0.9290788124369406	2.3903266238724608	0.22686741902612262	2.1108378616358086	0.2650975223245839	0.5925627623536442	0.47931965973748386	1.1975433550730759	0.4891283805825985	1.2632073549754455	0.30214499901727476	0.08607824080347469	0.33333279519991715	0.09814345483787451	0.530136150464552	2.127666231252059	0.34742037540148185	0.3594661129765624	0.7832846883582186	1.0814174278841029	0.6216681212756552	0.1443331910948943	1.170789062150737	1.9486098529744595	1.4305652732523235	0.5971574516522583	0.5418498535248069	0.499078412185921	1.166498866734751	1.3088360499510077	2.5417853122308687	0.21203101035313485	0.5120766533433222	0.4260127652074364	4.072655468325764	0.5858022753905316	2.167987263060643	2.2609182167379376	1.3983205591094618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0
