# BEAST v10.5.0
# Generated Thu Apr 09 16:31:01 BRT 2026 [seed=1775763060804]
# CDV_GTRG4_skygrid_strict_4traits.xml
state	location_2.rates.Argentina.Brazil	location_2.rates.Argentina.Gabon	location_2.rates.Argentina.Germany	location_2.rates.Argentina.Hungary	location_2.rates.Argentina.Italy	location_2.rates.Argentina.Uruguay	location_2.rates.Brazil.Gabon	location_2.rates.Brazil.Germany	location_2.rates.Brazil.Hungary	location_2.rates.Brazil.Italy	location_2.rates.Brazil.Uruguay	location_2.rates.Gabon.Germany	location_2.rates.Gabon.Hungary	location_2.rates.Gabon.Italy	location_2.rates.Gabon.Uruguay	location_2.rates.Germany.Hungary	location_2.rates.Germany.Italy	location_2.rates.Germany.Uruguay	location_2.rates.Hungary.Italy	location_2.rates.Hungary.Uruguay	location_2.rates.Italy.Uruguay	location_2.rates.Brazil.Argentina	location_2.rates.Gabon.Argentina	location_2.rates.Germany.Argentina	location_2.rates.Hungary.Argentina	location_2.rates.Italy.Argentina	location_2.rates.Uruguay.Argentina	location_2.rates.Gabon.Brazil	location_2.rates.Germany.Brazil	location_2.rates.Hungary.Brazil	location_2.rates.Italy.Brazil	location_2.rates.Uruguay.Brazil	location_2.rates.Germany.Gabon	location_2.rates.Hungary.Gabon	location_2.rates.Italy.Gabon	location_2.rates.Uruguay.Gabon	location_2.rates.Hungary.Germany	location_2.rates.Italy.Germany	location_2.rates.Uruguay.Germany	location_2.rates.Italy.Hungary	location_2.rates.Uruguay.Hungary	location_2.rates.Uruguay.Italy	location_2.indicators.Argentina.Brazil	location_2.indicators.Argentina.Gabon	location_2.indicators.Argentina.Germany	location_2.indicators.Argentina.Hungary	location_2.indicators.Argentina.Italy	location_2.indicators.Argentina.Uruguay	location_2.indicators.Brazil.Gabon	location_2.indicators.Brazil.Germany	location_2.indicators.Brazil.Hungary	location_2.indicators.Brazil.Italy	location_2.indicators.Brazil.Uruguay	location_2.indicators.Gabon.Germany	location_2.indicators.Gabon.Hungary	location_2.indicators.Gabon.Italy	location_2.indicators.Gabon.Uruguay	location_2.indicators.Germany.Hungary	location_2.indicators.Germany.Italy	location_2.indicators.Germany.Uruguay	location_2.indicators.Hungary.Italy	location_2.indicators.Hungary.Uruguay	location_2.indicators.Italy.Uruguay	location_2.indicators.Brazil.Argentina	location_2.indicators.Gabon.Argentina	location_2.indicators.Germany.Argentina	location_2.indicators.Hungary.Argentina	location_2.indicators.Italy.Argentina	location_2.indicators.Uruguay.Argentina	location_2.indicators.Gabon.Brazil	location_2.indicators.Germany.Brazil	location_2.indicators.Hungary.Brazil	location_2.indicators.Italy.Brazil	location_2.indicators.Uruguay.Brazil	location_2.indicators.Germany.Gabon	location_2.indicators.Hungary.Gabon	location_2.indicators.Italy.Gabon	location_2.indicators.Uruguay.Gabon	location_2.indicators.Hungary.Germany	location_2.indicators.Italy.Germany	location_2.indicators.Uruguay.Germany	location_2.indicators.Italy.Hungary	location_2.indicators.Uruguay.Hungary	location_2.indicators.Uruguay.Italy	location_2.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	42.0
10000	0.09567614130136981	0.3981584799374925	1.1884949619077745	0.6980468922421886	1.1009456583179607	0.30172130837543865	1.31627599896203	2.502739526008553	0.08087155979417798	1.1319258942182095	0.959087535982322	0.10589787435943689	1.5829418443679442	2.683286504420361	0.9050777263771885	0.7022753998051273	2.0443488895492314	0.11959365245480036	3.5420368797282853	0.2003173631215794	0.997592733981756	1.0652049495728724	1.990427665153568	1.1416414310578973	0.4710418866130849	0.3519749294312518	1.5962266362031847	0.31118951329082173	0.49120923207192213	2.9066198153778573	2.1587661648502237	1.011394143666029	0.08150008247311832	1.0126366239050497	0.3003722343140921	2.0820219902274215	1.553488621420771	1.347480519010426	0.07557216116483552	2.737503763305668	1.826989212805144	1.4799207266161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	11.0
20000	0.07494857752580938	4.735841741153139	0.3986578336950324	0.05633082415325077	0.3472845370172761	0.15356027184037319	0.9958710418269447	0.48033753991644335	1.0190077671730973	0.42433199274882916	1.3100504494281644	0.7860660214909608	0.40962000946306365	1.3212861352159446	1.989483192963662	0.09701516317939327	1.4884295014415116	0.01846955183828175	1.2541046897849206	0.7920054353654639	2.2474449441440267	2.6523291530861077	0.7172433832464038	0.6802206980266667	0.7559439153481824	1.2157000253086305	0.3635922334156841	0.3056841640665042	0.3354361161902793	1.4156280944440238	1.2707782891326798	1.1775822988937286	0.06897504560748456	2.1127675658339267	0.9722110969435269	1.3932076078632536	0.947468179703144	2.43253799425153	0.12923443459974798	1.2821047577479443	1.311826095622005	0.6206614405112376	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	12.0
30000	0.07786555763136443	0.8858868172728234	1.6248192382235727	1.3651113249519884	0.8557221618524228	0.08492348214766464	1.1632323910978364	0.2861460763743033	4.487266376685108	0.8679525638120144	0.16206472672975175	0.5021555078150232	0.255676184947776	0.3281884509712439	0.41548478791280224	0.16338981022576723	3.131623423142524	0.41208847462482956	1.266258886865596	0.5294502588951249	1.400600626949642	0.5383653341357234	0.9304931019775761	1.3528833662738813	0.13473560277628524	0.16752733581753265	1.0231814877771501	0.16001585147395453	0.6053451663003317	3.689349809043643	0.8300589427770066	1.4445504753980511	0.23411736409774841	1.0518444474676003	1.564503636397983	2.34767350363712	0.4118566272571569	2.988960856380482	0.8419912237121845	0.36918657715625364	2.293885249422312	0.38591623504217304	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	12.0
40000	0.010158066749472937	0.19005184083991708	3.4204439312524677	0.18725518882811065	0.5759008136504957	1.6745034438273425	0.9495499165360162	0.040274988028748925	1.481402455141306	0.5317485653910329	0.5119523119954549	0.33084737306873196	0.411089731488748	2.0874663026416136	2.1022016096821496	0.5796056222432574	1.0495165213955504	0.29452781754230883	0.4257723767463635	1.3722819876225094	0.10601785123393509	0.300767927994861	1.0410954227905251	5.2190841566691795	0.051182325785321524	0.3919527660565723	0.6277243209472892	1.762876012042992	1.79240379147557	0.32592652100392744	2.717175521827303	0.2971727882793373	3.550005458039379	0.5758423326154517	1.1151606650668637	0.01554964537947122	1.9992458433528284	0.7549377761287812	0.14990382566906646	1.0298327284398556	1.8222802745459723	1.221419018769509	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	18.0
50000	0.22442679522688974	4.05508113308136	0.27510639958542665	1.2497787758604466	0.5092905517426917	0.47871533543968203	0.28227626473249073	0.24247517453800735	1.5604679254190315	3.943141323688568	0.6828624231302346	1.1818607543832562	0.7290749264987716	0.2563894763593177	2.20363183136288	1.4085907302586527	0.5109181241342295	0.08134282013261712	0.8931761031934503	0.3195764417884202	0.2785023034412896	0.11665270238251677	2.5315317986751236	4.59943067795087	0.16407050457750286	0.837384774974149	2.5184178668404282	2.8508147458847635	0.9026778363102594	2.1364812054352513	1.4927847360490558	2.7842006042781375	1.342939581238564	0.40374620707792386	0.3422242612127879	0.026464511629201527	1.5894850603573478	0.9179930460422783	0.1658002343444252	1.1764495767289633	0.7971025991225789	1.1791541622748019	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	18.0
60000	0.5424433865277432	1.4617269120751688	0.07668625928293576	4.31811687332909	0.28353316997157696	0.7561128287548479	0.25182188579695275	1.7435554070759107	0.37363670332228066	2.484294585153038	3.6737991178786107	1.141104495020494	0.5995589898789838	0.13851980484103285	1.8377060309853261	1.44625862066409	3.76074588061376	0.12903735457204557	0.3520121003932857	0.4100678529729337	0.9420941868286867	0.0763945558801571	0.5406405212674241	0.6021559719625227	0.1401809444723016	2.0530420377493943	0.6479702960040409	1.7980999065648762	2.3107006845806257	2.289808779739708	0.14463559927613462	3.8478590242585144	2.289528591101465	0.08396392505985709	0.4772821180207255	0.04486384052873229	2.133135839517161	0.1607119957226911	1.1410975074734757	1.121566155474087	4.718140720100423	0.7818393749682883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	11.0
70000	0.8077717035786866	2.0020571543737744	0.0233615043841195	3.8811738217655836	2.5953867181665586	0.08224984641700743	0.15538393115927399	0.4520540598341681	1.6072971191124905	2.2510755363817507	0.7513227741380363	0.8772312130037623	0.32167294737004665	0.0974477715061143	0.11860317820276195	3.2024152585526124	2.083760396339717	0.3600413554673389	1.2774363999175296	1.2296932991288871	1.601768330990952	1.2184310318942706	0.46198545775733485	0.31397928921675916	0.007734257364086894	0.05733887624389009	0.6296238022070136	0.2548903392621683	3.650971380246322	2.2343553961960256	0.15013024069667902	2.2378321855562073	2.4396079286522654	0.23656119292574374	0.8246586122763184	0.7072165106261963	2.6505197529777385	1.181542453072432	0.38915266633797246	0.4333890254254489	1.651880437058814	0.07677835005039335	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	13.0
80000	1.054414858856007	4.5075845561509675	0.4333450867474598	0.4188287214547939	0.20415071246691352	0.6039113534709982	0.4231626257083592	0.914865196694298	0.07025089425467926	1.5715208894240702	1.2371902714284173	0.7386367953797405	1.7140907560617717	0.1394618413162531	0.1772090360873459	0.4983246305250901	1.5849572482263619	1.429454328154666	0.8477127204789937	1.418039225921701	2.0967575910287235	0.5982437149276736	0.45160290712587126	2.7545912128913415	0.003589556919111883	0.4047919259575959	1.5808611483298454	1.4005044216741078	2.5550023683386436	0.9871237370585768	0.1750757363203271	1.964141261614426	1.546053582933106	0.10029415801441478	0.49868126865824175	1.6424998913079745	0.8807338753982913	0.32774606062041184	0.4329501342598429	0.8394342076209231	0.24004655930295019	0.13248280704856932	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	11.0
90000	0.28221726647662115	0.4709554632669247	1.3113573733949981	0.5702819169581919	0.6814810603908563	2.2341037108359787	0.359395829617509	2.831057440969243	0.053733142773791716	1.218682652618825	0.5158110041645758	0.7532772744622381	2.8599060522997872	1.9669212403487752	0.0035185132825990124	0.7332590126521807	3.28379121629435	1.1215341514105976	1.5417903045526764	2.134573904300521	1.1346807336920932	1.2564373791433934	3.0338789153245296	0.22514418924667104	3.961818550062042E-4	0.4055270236876968	0.9113708496288431	1.4294425443617826	0.44955409025828047	1.412051966051527	0.3042878058120459	1.0402303798487498	0.3816942017362205	0.6691755042585945	0.49427487391197455	0.20420930481512903	0.16439855848846413	0.20413553783270072	0.30901464022229114	1.4313053402219116	1.3279635354560628	0.0681073635232874	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	12.0
100000	2.5518883644468375	1.4536295818411824	0.4561747941549465	1.1637739654380208	0.3685334081048982	0.25685555887657774	1.7653397845245022	0.8024226071032129	0.12238935891772766	0.6639588997797843	1.4767864449493953	0.13245422305289714	1.7436825125621576	0.39268105118761437	0.031128458444456157	1.4816470361400618	2.14750064800301	0.8096280046824994	2.1870467752273903	3.5809610653138386	0.546648735426384	0.81469311214471	0.8578932928279515	0.2507359655389737	0.0027810156660118346	0.1644027014455706	2.079180210498005	3.1101986595215654	1.2961940932999778	0.8858038114446334	0.2929804918084436	1.4677064302763414	0.20573133506097588	0.8453037450327091	0.4478036212907993	0.05035150949583301	0.991660255111026	0.12322657214154646	4.920381326465458	0.3106380812228661	0.16496907977527817	0.2681851753961779	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	14.0
110000	1.3114457934976869	1.766990770975896	0.1007642309636659	1.554989121586419	0.45375187996424815	0.4682410504919121	2.268373874919881	1.7892791662965144	0.178267963501277	1.3682990257848995	0.6990389401470376	0.2649713791077984	0.3730058868595398	0.8357129260735741	0.04310397644534915	0.7913927626891638	0.34816312796688753	1.6805632511280326	2.1065518777033363	2.933980067943783	0.447767177780855	0.7258906177756725	0.3543768859603359	0.4364531940344549	0.0022836402440555023	0.08805201648274102	2.5517469213513477	1.4077265550595062	3.9618104358686037	1.0658676916416037	0.6578999548910482	2.2619275913706103	0.80262660865356	2.0214067107386113	0.51350523545005	0.1928574537844907	0.49894078786275853	0.5620291762137474	0.5110882297918394	0.8201037296716186	0.3539214817255462	0.5470788190879643	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	13.0
